word,category,meanings,is
अस्त्र,ना.,हातहतियार; शस्त्र,SI
अस्पताल,सङ्.  ना.,रोगीहरूको उपचार गर्ने संस्था वा ठाउँ,SISI
अहँ,नि.,अस्विकृति जनाउन प्रयोग गरिने शब्द,II
अहं,ना.,"अहंकार; घमण्ड
महत्त्वपूर्ण; प्रमुख; ठूलो",IS
अहा,विस्म.,"खुशी, आश्चर्य आदि जनाउन प्रयोग गरिने शब्द",IS
अहो,विस्म.,विस्मय  वा आश्चर्य व्यक्त गर्दा प्रयोग गरिने शब्द,IS
आँ,असङ्.  ना.,मुख बाएको अवस्था,S
आँकडा,ना.,तथ्याङ्क; लगत; अङ्क,SIS
आँच,ना.,"बलेको वस्तुबाट आउने राप
कुनै कुराको प्रभावलाई कम गर्ने वा कमजोर तुल्याउने काम
बलिरहेको आगोबाट निस्कने तातोपन",SI
आँधी,ना.,पानी परेको बेला आउने ठूलो हुरी,SS
आँप,सङ्.  ना.,"चिल्लो बोक्रा, रसिलोगुदी र भित्र ठूलो कोया हुने एक प्रकारको फल",SI
आइतबार,ना.,नेपाली पात्रो अनुसार हप्ताको पहिलो दिन; शनिवारभन्दा पछि र सोमवारभन्दा अघिल्लो दिन,SIISI
आइमाई,सङ्.  ना.,"उमेर पुगेकी महिला
श्रीमति; पत्नि; स्वास्नी",SISS
आइरन,असङ्.  ना.,फलाम तत्व,SIII
आउनु,अक.  क्रि.,"कुनै कुरा प्रसङ्गको विन्दुतिर सर्नु
अनुभव हुनु
कुनै अवस्था देखिनु
क्रममा ठाउँ निश्चित हुनु
जिम्मेवारी लिनुपर्ने अवस्था हुनु
कुनै ठाउँ देखिनु वा भेटिनु
निवेदन पर्नु, निवेदन दर्ता हुनु
एउटा अवस्थाबाट अर्कोमा परिवर्तन हुनु, फेरिनु
बिम्ब बन्नु, सम्झिनु
कुनै कुराको विवरण तयार हुनु
समय हुनु
सूचना प्राप्त हुनु",SII
आकर्षक,वि.,"राम्रो लाग्ने; मनमोहक
उल्लेख गर्न योग्य भएको",SSII
आकर्षण,ना.,"व्यक्ति, विषय वा वस्तुप्रतिको मोह",SSII
आकलन,ना.,अनुमान; अड्कल,SIII
आकस्मिक,वि.,अपर्झट हुने; पूर्वयोजना वा पूर्वसूचनाबिना हुने; अकस्मात,SSII
आकार,ना.,"कुनै वस्तुको बाहिरबाट देखिने स्वरूप; बाहिरी बनोट
वस्तुको बाहिरी स्वरूपको नाप",SSI
आकाश,ना.,"पृथ्वीभन्दा माथि सूर्य, चन्द्रमा, तारा आदि देखिने खुला र नीलो क्षेत्र
पृथ्वीको सतहभन्दा माथिको बादल लाग्ने क्षेत्र",SSI
आकृति,ना.,"कुनै वस्तु, चीज आदिको आकार; रूप",SII
आकृष्ट,वि.,आकर्षित,SSI
आक्रमण,सङ्.  ना.,"कसैमाथि बलपूर्वक गरिएको हमला
कुनै देश, प्रशासनिक इकाइ वा कसैको क्षेत्रको सिमाना पार गरेर गरिने हस्तक्षेप",SIII
आक्रान्त,वि.,आक्रमण भएको; नराम्रोसँग प्रभावित,SSI
